PC1,PC2,Clusters
-47305.03154541188,16.33466288935847,0
14707.967401039263,-39.500646946992916,3
-465.03274872887414,-47.22793216892536,0
-46799.03160323229,13.054486893815778,0
-40759.03263046182,-40.90377218578071,0
-50039.03176511996,4.896348114100519,0
-12225.032678843447,-44.47384119216747,0
-35892.032690711116,-44.00681767954974,0
-35745.031615793734,11.716535023828854,0
-53999.03146701105,20.24696556474393,0
-37305.032766762626,-48.29994366718617,0
-28692.031682747678,8.808034937118876,0
-9505.032678075688,-43.482705602725204,0
-33599.031632113794,11.085410439393968,0
-44665.031544174766,16.11421940497118,0
-67865.03160421088,12.821734900254341,0
-26932.032623186475,-41.24184446195075,0
-44625.03196183985,-5.896547261618238,0
-14706.031962134235,-6.181600891327676,0
-58685.0323156401,-24.411569963113593,0
-62818.03257450063,-37.81284208715465,0
-38559.03181539624,2.3380516687630717,0
-31092.031669035496,9.761009893247774,0
-16572.032278422033,-21.695397583009424,0
-36705.032037056895,-9.465089192592558,0
-57159.03161949103,12.580440226566225,0
-35305.03290092258,-55.602265408617896,0
-7665.0313743186125,25.14397206077652,0
-48305.032277511375,-21.8196249726561,0
-27932.031426834088,22.4419141914114,0
-58972.0325539262,-36.69412823579444,0
-28332.032526307215,-35.90105688962184,0
-31332.031692358316,8.724699747148733,0
-10225.030863202264,52.29819476629032,0
-22759.03157624576,14.19759506279901,0
-3159.032214820065,-19.784306577496935,0
-81865.03147581151,19.840583822506403,5
-54041.032571889256,-37.864737464038214,0
-68465.0315559078,15.807533291450426,0
-21692.032711968466,-45.23708361446229,0
-15799.032536635525,-35.82818042924431,0
-20999.032501093636,-34.06871136973038,0
-4332.031739090482,6.199347183373334,0
-26292.03262584872,-40.49883134291295,0
-11092.03243886854,-31.445878066068232,0
2307.96743018509,-37.87746852043625,0
-13839.032552845572,-37.237719432518915,0
-11865.031418318424,22.945036064473726,0
-12065.032404808328,-29.06060821976186,0
-31105.031797822623,3.073739490852475,0
-58092.03231655079,-23.832196008197258,0
-16159.03182961425,1.0400052853547095,0
-34105.03160240187,12.882128366739693,0
-44292.031661360816,10.47190897675344,0
-23399.032859832252,-53.024705383269804,0
-38239.03248113653,-33.49804227606275,0
-38715.03165159322,10.601679563486314,0
-33096.03134795796,26.492637364290005,0
-44242.03192796666,-4.035962689376106,0
-13065.03219226026,-18.371982732754844,0
-53808.03264466379,-41.47014347532759,0
-24892.032231322228,-19.85760267759707,0
-43532.031626631506,12.266750059474887,0
-20799.03191243118,-3.081419196117409,0
-20665.032541404653,-36.019280297383716,0
-13332.032461244788,-32.541993191529755,0
-40199.032448259444,-31.58661872728642,0
-31492.03176652096,4.283774316333691,0
-36239.030960242235,47.052693805015366,0
-46932.03129143885,29.461209148667933,0
-27705.031772565388,4.341867973986766,0
-25599.030874648626,51.819461221496084,0
-24599.03174048182,6.756217133498396,0
-11665.032017710822,-9.58744655087996,0
-14465.030853523145,52.644073080948516,0
-11105.031960558,-6.470837332561629,0
-36065.032442050375,-31.555409212860397,0
